barangay,Childcare,Health centers,Long-term care and rehabilitation services,Older persons care,Quezon City satellite offices for services,Schools,Trainings,Total,psgc_code,district,area_km2,pop_census,pop_male,pop_female,age_0_2,age_0_2_m,age_0_2_f,age_3_5,age_3_5_m,age_3_5_f,age_0_5,age_0_5_m,age_0_5_f,age_6_17,age_6_17_m,age_6_17_f,age_18_59,age_18_59_m,age_18_59_f,age_60plus,age_60plus_m,age_60plus_f,age_80plus,age_80plus_m,age_80plus_f,children_0_5_childcare,children_0_17_total,pop_density_km2,seniors_registered,pwd_registered,seniors_density_km2,seniors_per_1000_census,pwd_density_km2,pwd_per_1000_census,disability_prevalence_rate_pct,sex_ratio_m_per_100f,share_women_18_59_pct,child_woman_ratio,pop_cbms_secondary,cbms_avg_household_size,cbms_avg_nuclear_families_per_hh,cbms_food_insecurity_prevalence_pct,cbms_food_severe_wholeday_pct,cbms_food_intensity_score,cbms_housing_inadequacy_index_pct,cbms_housing_makeshift_severe_pct,migrant_workers_total,migrant_workers_male,migrant_workers_female,ratio_child,ratio_childcare,ratio_childcare_f,ratio_childcare_m,ratio_old_60,ratio_old_60_f,ratio_old_60_m,ratio_pwd,ratio_school_3_5,ratio_school_3_5_f,ratio_school_3_5_m,ratio_school_6_17,ratio_school_6_17_f,ratio_school_6_17_m,ratio_old_80,ratio_old_80_f,ratio_old_80_m,ratio_pop_health,ratio_pop_health_f,ratio_pop_health_m,ratio_child_health,ratio_child_health_f,ratio_child_health_m,ratio_old_health,ratio_old_health_f,ratio_old_health_m,ratio_pwd_health,domestic_workers_female,domestic_workers_male,domestic_workers_total
South Triangle,1,0,10,1,0,1,0,13,,4,1.1251,14451,7095,7356,570,336,234,621,339,282,1191,675,516,2148,1095,1053,9827,4802,5025,1285,523,762,98,21,77,1191,3339,12844.2,2262.0,864,2010.5,156.5,767.9,59.8,5.98,96.5,34.77,233.7,6542.0,2.14,1.01,6.92,1.02,3.19,6.94,0.1,104.0,51.0,53.0,0.8396305626,0.8396305626,1.937984496,1.481481481,0.7782101167,1.312335958,1.912045889,11.57407407,1.610305958,3.546099291,2.949852507,0.4655493482,0.9496676163,0.9132420091,10.20408163,12.98701299,47.61904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0
St. Ignatius,0,0,0,0,0,0,0,0,,3,0.2582,2054,893,1161,58,27,31,71,38,33,129,65,64,244,124,120,1330,555,775,351,149,202,69,29,40,129,373,7955.1,434.0,115,1680.9,211.3,445.4,56.0,5.6,76.9,37.73,168.6,540.0,3.8,1.41,9.86,0.0,2.676,3.76,0.7,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,6.0,123.0
St. Peter,0,0,0,0,0,0,0,0,,1,0.2695,4049,1887,2162,139,67,72,152,71,81,291,138,153,589,310,279,2639,1221,1418,530,218,312,75,22,53,291,880,15024.1,911.0,204,3380.3,225.0,757.0,50.4,5.04,87.3,35.02,205.1,163.0,3.54,1.2,8.7,0.0,2.8,13.77,0.0,15.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sta. Cruz,1,0,0,0,0,2,0,3,,1,0.4419,3945,1954,1991,181,98,83,197,112,85,378,210,168,695,378,317,2478,1206,1272,394,160,234,49,15,34,378,1073,8927.4,690.0,202,1561.4,174.9,457.1,51.2,5.12,98.1,32.24,283.1,2568.0,2.88,1.01,5.61,3.36,4.089,12.67,0.11,17.0,8.0,9.0,2.645502646,2.645502646,5.952380952,4.761904762,0.0,0.0,0.0,0.0,10.15228426,23.52941176,17.85714286,2.877697842,6.309148265,5.291005291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,17.0
Sta. Lucia,5,4,0,0,0,10,0,19,,5,0.6466,28215,14319,13896,1829,997,832,1745,928,817,3574,1925,1649,6813,3521,3292,15776,7991,7785,2052,882,1170,157,39,118,3574,10387,43635.9,3572.0,858,5524.3,126.6,1326.9,30.4,3.04,103.0,27.59,412.5,23263.0,3.91,1.08,21.5,5.65,3.459,5.92,0.29,807.0,357.0,450.0,1.398992725,1.398992725,3.032140691,2.597402597,0.0,0.0,0.0,0.0,5.730659026,12.23990208,10.77586207,1.467782181,3.037667072,2.840102244,0.0,0.0,0.0,0.1417685628,0.2878526195,0.2793491166,1.11919418,2.425712553,2.077922078,1.949317739,3.418803419,4.535147392,4.662004662,52.0,2.0,54.0
Sta. Monica,4,0,0,0,1,12,0,17,,5,1.6548,51785,25996,25789,3358,1719,1639,3315,1710,1605,6673,3429,3244,11778,6162,5616,29196,14673,14523,4138,1732,2406,333,90,243,6673,18451,31293.8,6006.0,1399,3629.4,116.0,845.4,27.0,2.7,100.8,28.04,416.7,42556.0,3.79,1.1,22.4,5.25,3.527,7.87,0.61,331.0,134.0,197.0,0.599430541,0.599430541,1.233045623,1.166520852,0.0,0.0,0.0,0.0,3.619909502,7.476635514,7.01754386,1.018848701,2.136752137,1.947419669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0
Sta. Teresita,2,1,4,0,0,6,0,13,,1,0.3376,11752,5671,6081,375,185,190,457,247,210,832,432,400,1720,847,873,7986,3882,4104,1214,510,704,130,42,88,832,2552,34810.4,1581.0,410,4683.1,134.5,1214.5,34.9,3.49,93.3,34.92,188.9,2791.0,3.11,1.14,10.59,1.34,3.044,12.3,0.33,81.0,50.0,31.0,2.403846154,2.403846154,5.0,4.62962963,0.0,0.0,0.0,9.756097561,13.12910284,28.57142857,24.29149798,3.488372093,6.872852234,7.083825266,0.0,0.0,0.0,0.08509189925,0.1644466371,0.1763357433,1.201923077,2.5,2.314814815,0.823723229,1.420454545,1.960784314,2.43902439,0.0,0.0,0.0
Sto. Cristo,2,0,2,0,0,5,0,9,,1,0.5504,25697,12574,13123,1265,651,614,1233,615,618,2498,1266,1232,4527,2357,2170,16312,8005,8307,2360,946,1414,217,62,155,2498,7025,46687.9,2614.0,725,4749.3,101.7,1317.2,28.2,2.82,95.8,32.33,285.7,11928.0,2.05,1.02,2.93,1.63,4.113,1.68,0.02,358.0,205.0,153.0,0.8006405124,0.8006405124,1.623376623,1.579778831,0.0,0.0,0.0,2.75862069,4.055150041,8.090614887,8.130081301,1.104484206,2.304147465,2.121340687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Sto. Domingo (Matalahib),1,0,3,0,0,15,0,19,,1,0.9075,11353,5676,5677,651,354,297,640,318,322,1291,672,619,2424,1236,1188,6713,3380,3333,925,388,537,109,37,72,1291,3715,12510.2,1684.0,390,1855.6,148.3,429.8,34.4,3.44,100.0,29.36,355.1,6694.0,3.24,1.06,29.17,2.96,2.799,11.49,0.29,,,,0.7745933385,0.7745933385,1.615508885,1.488095238,0.0,0.0,0.0,7.692307692,23.4375,46.58385093,47.16981132,6.188118812,12.62626263,12.13592233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,63.0
Sto. Niño,1,0,0,0,0,0,0,1,,4,0.1981,7070,3562,3508,350,176,174,338,159,179,688,335,353,1273,681,592,4391,2258,2133,718,288,430,67,16,51,688,1961,35689.0,1623.0,338,8192.8,229.6,1706.2,47.8,4.78,101.5,30.17,322.6,3909.0,3.5,1.05,20.14,2.69,3.197,12.2,0.18,40.0,18.0,22.0,1.453488372,1.453488372,2.83286119,2.985074627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0
Tagumpay,1,0,1,0,0,0,0,2,,3,0.0964,2257,1114,1143,144,76,68,129,65,64,273,141,132,531,270,261,1283,642,641,170,61,109,19,4,15,273,804,23412.9,453.0,157,4699.2,200.7,1628.6,69.6,6.96,97.5,28.4,382.4,1912.0,3.38,1.14,45.23,2.3,2.268,7.18,0.18,50.0,15.0,35.0,3.663003663,3.663003663,7.575757576,7.092198582,0.0,0.0,0.0,6.369426752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Talayan,1,0,0,0,0,2,0,3,,1,0.4939,4402,2267,2135,265,158,107,258,134,124,523,292,231,876,462,414,2579,1337,1242,424,176,248,48,13,35,523,1399,8912.7,687.0,131,1391.0,156.1,265.2,29.8,2.98,106.2,28.21,374.1,3419.0,3.74,1.18,15.96,2.19,3.561,18.19,0.44,43.0,21.0,22.0,1.912045889,1.912045889,4.329004329,3.424657534,0.0,0.0,0.0,0.0,7.751937984,16.12903226,14.92537313,2.283105023,4.830917874,4.329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Talipapa,6,1,2,0,0,15,0,24,,6,1.7303,38921,19180,19741,2058,1000,1058,2114,1057,1057,4172,2057,2115,7651,4015,3636,23774,11759,12015,3324,1349,1975,267,70,197,4172,11823,22493.8,5055.0,1418,2921.5,129.9,819.5,36.4,3.64,97.2,30.87,316.1,23749.0,3.56,1.15,18.1,2.72,3.524,4.1,0.27,283.0,148.0,135.0,1.438159156,1.438159156,2.836879433,2.916869227,0.0,0.0,0.0,1.410437236,7.095553453,14.19110691,14.19110691,1.960528036,4.125412541,3.735990037,0.0,0.0,0.0,0.02569307058,0.05065599514,0.05213764338,0.2396931927,0.4728132388,0.4861448712,0.3008423586,0.5063291139,0.7412898443,0.7052186178,32.0,7.0,39.0
Tandang Sora,5,3,4,0,1,36,0,49,,6,3.9682,83097,41015,42082,4644,2454,2190,4476,2313,2163,9120,4767,4353,16320,8446,7874,49884,24497,25387,7773,3305,4468,689,212,477,9120,25440,20940.7,11604.0,2876,2924.2,139.6,724.8,34.6,3.46,97.5,30.55,332.9,53214.0,2.98,1.05,19.25,3.23,3.113,4.06,0.15,1005.0,438.0,567.0,0.548245614,0.548245614,1.148633127,1.048877701,0.0,0.0,0.0,1.390820584,8.042895442,16.64355062,15.56420233,2.205882353,4.572009144,4.262372721,0.0,0.0,0.0,0.03610238637,0.07128938739,0.07314397172,0.3289473684,0.6891798759,0.6293266205,0.3859513701,0.6714413608,0.9077155825,1.043115438,58.0,2.0,60.0
Tatalon,2,1,1,0,0,20,0,24,,4,0.9202,55380,27986,27394,3603,1893,1710,3700,1876,1824,7303,3769,3534,12994,6709,6285,31663,16068,15595,3420,1440,1980,226,62,164,7303,20297,60182.6,6498.0,1625,7061.5,117.3,1765.9,29.3,2.93,102.2,28.16,419.5,44256.0,3.42,1.05,40.37,9.37,3.589,17.8,0.35,672.0,270.0,402.0,0.2738600575,0.2738600575,0.5659309564,0.5306447334,0.0,0.0,0.0,0.6153846154,5.405405405,10.96491228,10.66098081,1.539171926,3.182179793,2.981070204,0.0,0.0,0.0,0.01805706031,0.03650434402,0.03573215179,0.1369300288,0.2829654782,0.2653223667,0.2923976608,0.5050505051,0.6944444444,0.6153846154,1.0,0.0,1.0
Teachers Village East,0,0,1,0,0,4,0,5,,4,0.2183,2401,1066,1335,53,18,35,68,30,38,121,48,73,287,144,143,1632,735,897,361,139,222,61,13,48,121,408,10998.6,709.0,231,3247.8,295.3,1058.2,96.2,9.62,79.9,37.36,140.7,512.0,3.35,1.48,9.8,0.65,3.097,4.14,0.0,18.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.329004329,58.82352941,105.2631579,133.3333333,13.93728223,27.97202797,27.77777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teachers Village West,0,0,0,0,0,0,0,0,,4,0.2346,2984,1390,1594,96,58,38,105,51,54,201,109,92,471,254,217,1820,849,971,492,178,314,79,16,63,201,672,12719.5,944.0,238,4023.9,316.4,1014.5,79.8,7.98,87.2,32.54,207.6,781.0,3.32,1.33,9.79,0.43,2.556,2.43,0.0,16.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U. P. Campus,5,0,0,0,0,0,0,5,,4,4.5256,47122,23857,23265,3182,1674,1508,3036,1546,1490,6218,3220,2998,11034,5709,5325,26840,13647,13193,3030,1281,1749,218,56,162,6218,17252,10412.3,4008.0,1110,885.6,85.1,245.3,23.6,2.36,102.5,28.0,422.0,43036.0,3.91,1.2,41.17,5.76,3.2,22.32,3.62,232.0,83.0,149.0,0.8041170794,0.8041170794,1.667778519,1.552795031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,38.0
U. P. Village,1,0,1,0,0,11,0,13,,4,0.3748,3167,1479,1688,88,36,52,83,35,48,171,71,100,407,204,203,2050,983,1067,539,221,318,105,27,78,171,578,8449.8,1029.0,233,2745.5,324.9,621.7,73.6,7.36,87.6,33.69,162.9,2247.0,3.62,1.33,5.65,2.26,3.853,3.6,0.0,21.0,11.0,10.0,5.847953216,5.847953216,10.0,14.08450704,0.0,0.0,0.0,4.291845494,132.5301205,229.1666667,314.2857143,27.02702703,54.18719212,53.92156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,41.0
Ugong Norte,0,0,1,0,0,4,0,5,,3,2.7396,6301,2916,3385,525,243,282,394,205,189,919,448,471,889,450,439,3531,1590,1941,962,428,534,117,49,68,919,1808,2300.0,1324.0,317,483.3,210.1,115.7,50.3,5.03,86.1,30.8,520.9,552.0,4.45,2.3,10.48,2.42,3.798,9.68,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.154574132,10.15228426,21.16402116,19.51219512,4.49943757,9.111617312,8.888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unang Sigaw,1,0,0,0,0,1,0,2,,6,0.2139,6508,3396,3112,492,253,239,485,260,225,977,513,464,1615,847,768,3572,1882,1690,344,154,190,24,3,21,977,2592,30425.4,629.0,177,2940.6,96.7,827.5,27.2,2.72,109.1,25.97,514.9,4499.0,3.8,1.19,39.48,6.26,3.487,14.37,0.93,151.0,49.0,102.0,1.023541453,1.023541453,2.155172414,1.949317739,0.0,0.0,0.0,0.0,2.06185567,4.444444444,3.846153846,0.6191950464,1.302083333,1.180637544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
Valencia,0,0,1,0,0,0,0,1,,4,0.4296,10877,5182,5695,535,261,274,483,231,252,1018,492,526,1659,908,751,7020,3366,3654,1180,416,764,117,34,83,1018,2677,25318.9,1388.0,530,3230.9,127.6,1233.7,48.7,4.87,91.0,33.59,273.6,1616.0,3.67,1.21,16.14,2.27,3.34,13.06,0.0,41.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.886792453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vasra,2,0,1,0,0,3,0,6,,1,0.5406,7334,3690,3644,514,263,251,408,209,199,922,472,450,1515,787,728,4459,2235,2224,438,196,242,28,7,21,922,2437,13566.4,1341.0,352,2480.6,182.8,651.1,48.0,4.8,101.3,30.32,382.1,4471.0,3.43,1.08,11.73,2.91,3.578,14.38,0.38,205.0,83.0,122.0,2.169197397,2.169197397,4.444444444,4.237288136,0.0,0.0,0.0,2.840909091,7.352941176,15.07537688,14.35406699,1.98019802,4.120879121,3.811944091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veterans Village,1,1,0,0,0,12,0,14,,1,0.5206,12693,6006,6687,461,226,235,513,281,232,974,507,467,2028,1013,1015,8209,3887,4322,1482,599,883,174,52,122,974,3002,24381.5,2392.0,646,4594.7,188.5,1240.9,50.9,5.09,89.8,34.05,225.0,4630.0,2.81,1.01,14.35,1.88,3.075,0.57,0.06,167.0,75.0,92.0,1.026694045,1.026694045,2.141327623,1.972386588,0.0,0.0,0.0,0.0,23.39181287,51.72413793,42.70462633,5.917159763,11.8226601,11.84600197,0.0,0.0,0.0,0.0787835815,0.1495438911,0.1665001665,1.026694045,2.141327623,1.972386588,0.6747638327,1.132502831,1.669449082,1.547987616,0.0,0.0,0.0
Villa Maria Clara,1,0,0,0,0,3,0,4,,3,0.0841,2405,1125,1280,110,43,67,89,46,43,199,89,110,429,220,209,1415,670,745,362,146,216,55,21,34,199,628,28596.9,629.0,143,7479.2,261.5,1700.4,59.5,5.95,87.9,30.98,252.3,1414.0,3.4,1.36,59.62,3.12,2.063,2.24,0.0,14.0,6.0,8.0,5.025125628,5.025125628,9.090909091,11.23595506,0.0,0.0,0.0,0.0,33.70786517,69.76744186,65.2173913,6.993006993,14.35406699,13.63636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
West Kamias,1,0,1,0,0,3,0,5,,3,0.1805,4044,1997,2047,165,101,64,166,82,84,331,183,148,634,316,318,2620,1309,1311,459,189,270,69,19,50,331,965,22404.4,847.0,266,4692.5,209.4,1473.7,65.8,6.58,97.6,32.42,241.0,2218.0,2.83,1.07,6.51,1.15,3.045,12.49,0.0,14.0,6.0,8.0,3.021148036,3.021148036,6.756756757,5.464480874,0.0,0.0,0.0,3.759398496,18.07228916,35.71428571,36.58536585,4.731861199,9.433962264,9.493670886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
West Triangle,0,0,1,0,0,0,0,1,,1,0.6752,2416,1086,1330,59,18,41,84,41,43,143,59,84,269,145,124,1597,700,897,407,182,225,85,30,55,143,412,3578.2,862.0,240,1276.7,356.8,355.5,99.3,9.93,81.7,37.13,158.2,1014.0,2.7,1.11,1.87,1.33,4.4,0.18,0.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Plains,0,0,0,0,0,3,0,3,,3,0.5576,3558,1493,2065,74,39,35,73,43,30,147,82,65,355,173,182,2481,1012,1469,575,226,349,117,43,74,147,502,6380.9,792.0,185,1420.4,222.6,331.8,52.0,5.2,72.3,41.29,100.6,310.0,3.78,2.28,4.88,0.0,1.5,0.81,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.09589041,100.0,69.76744186,8.450704225,16.48351648,17.34104046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,166.0,624.0
